city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU
Delhi,2026-06-03,2026-06-02,2026-06-05T06:51:07.686342,PRmsl,Pa,100080.0,100479.7865,100445.8859,100564.8935,100421.1218,100487.2448,False,399.7865,399.7865,365.8859,365.8859,484.8935,484.8935,341.1218,341.1218,407.2448,407.2448
Delhi,2026-06-03,2026-06-02,2026-06-05T06:51:07.686342,RH2m,%,34.42,68.6765,57.4308,82.5397,60.181,74.5543,False,34.2565,34.2565,23.0108,23.0108,48.1197,48.1197,25.761,25.761,40.1343,40.1343
Delhi,2026-06-03,2026-06-02,2026-06-05T06:51:07.686342,TMP2m,C,35.18,31.0076,31.0549,28.5702,33.2946,31.1107,False,-4.1724,4.1724,-4.1251,4.1251,-6.6098,6.6098,-1.8854,1.8854,-4.0693,4.0693
Delhi,2026-06-03,2026-06-02,2026-06-05T10:44:35.112907,PRmsl,Pa,100080.0,100507.8462,100462.3327,100569.3496,100488.1408,100511.5616,False,427.8462,427.8462,382.3327,382.3327,489.3496,489.3496,408.1408,408.1408,431.5616,431.5616
Delhi,2026-06-03,2026-06-02,2026-06-05T10:44:35.112907,RH2m,%,34.42,68.8125,57.9233,82.5863,60.4356,74.3049,False,34.3925,34.3925,23.5033,23.5033,48.1663,48.1663,26.0156,26.0156,39.8849,39.8849
Delhi,2026-06-03,2026-06-02,2026-06-05T10:44:35.112907,TMP2m,C,35.18,30.8699,30.9933,28.5323,32.8036,31.1505,False,-4.3101,4.3101,-4.1867,4.1867,-6.6477,6.6477,-2.3764,2.3764,-4.0295,4.0295
Delhi,2026-06-03,2026-06-02,2026-06-05T23:55:21.762199,PRmsl,Pa,100080.0,100507.8462,100462.3327,100569.3496,100488.1408,100511.5616,False,427.8462,427.8462,382.3327,382.3327,489.3496,489.3496,408.1408,408.1408,431.5616,431.5616
Delhi,2026-06-03,2026-06-02,2026-06-05T23:55:21.762199,RH2m,%,34.42,68.8125,57.9233,82.5863,60.4356,74.3049,False,34.3925,34.3925,23.5033,23.5033,48.1663,48.1663,26.0156,26.0156,39.8849,39.8849
Delhi,2026-06-03,2026-06-02,2026-06-05T23:55:21.762199,TMP2m,C,35.18,30.8699,30.9933,28.5323,32.8036,31.1505,False,-4.3101,4.3101,-4.1867,4.1867,-6.6477,6.6477,-2.3764,2.3764,-4.0295,4.0295
Delhi,2026-06-04,2026-06-03,2026-06-06T23:55:54.949408,PRmsl,Pa,99840.0,100381.2646,100148.8741,100573.7715,100353.9512,100448.4617,False,541.2646,541.2646,308.8741,308.8741,733.7715,733.7715,513.9512,513.9512,608.4617,608.4617
Delhi,2026-06-04,2026-06-03,2026-06-06T23:55:54.949408,RH2m,%,29.12,67.9907,56.465,82.5318,58.1992,74.7667,False,38.8707,38.8707,27.345,27.345,53.4118,53.4118,29.0792,29.0792,45.6467,45.6467
Delhi,2026-06-04,2026-06-03,2026-06-06T23:55:54.949408,TMP2m,C,36.86,31.344,32.3581,28.5384,33.3133,31.1663,False,-5.516,5.516,-4.5019,4.5019,-8.3216,8.3216,-3.5467,3.5467,-5.6937,5.6937
Delhi,2026-06-05,2026-06-04,2026-06-07T23:51:33.828638,PRmsl,Pa,99960.0,100317.4328,100087.399,100571.4334,100205.2325,100405.6663,False,357.4328,357.4328,127.399,127.399,611.4334,611.4334,245.2325,245.2325,445.6663,445.6663
Delhi,2026-06-05,2026-06-04,2026-06-07T23:51:33.828638,RH2m,%,37.59,67.1617,53.3086,82.5881,57.2934,75.4568,False,29.5717,29.5717,15.7186,15.7186,44.9981,44.9981,19.7034,19.7034,37.8668,37.8668
Delhi,2026-06-05,2026-06-04,2026-06-07T23:51:33.828638,TMP2m,C,34.8,32.022,33.7607,28.501,34.5824,31.2438,False,-2.778,2.778,-1.0393,1.0393,-6.299,6.299,-0.2176,0.2176,-3.5562,3.5562
Delhi,2026-06-06,2026-06-05,2026-06-08T06:19:07.154064,PRmsl,Pa,,,,,,,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T06:19:07.154064,RH2m,%,,,,,,,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T06:19:07.154064,TMP2m,C,,,,,,,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T06:47:11.125056,PRmsl,Pa,,100358.7651,100213.1999,100559.2555,100280.0424,100382.5627,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T06:47:11.125056,RH2m,%,,67.5035,53.5159,82.7089,57.3963,76.3927,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T06:47:11.125056,TMP2m,C,,31.5342,32.0506,28.4441,33.8616,31.7807,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T23:49:37.197037,PRmsl,Pa,,100358.7649,100213.1995,100559.2556,100280.0419,100382.5627,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T23:49:37.197037,RH2m,%,,67.5035,53.5159,82.7089,57.3963,76.3927,False,,,,,,,,,,
Delhi,2026-06-06,2026-06-05,2026-06-08T23:49:37.197037,TMP2m,C,,31.5342,32.0506,28.4441,33.8615,31.7807,False,,,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T04:34:55.781808,PRmsl,Pa,99980.0,100358.7649,100213.1995,100559.2556,100280.0419,100382.5627,False,378.7649,378.7649,233.1995,233.1995,579.2556,579.2556,300.0419,300.0419,402.5627,402.5627
Delhi,2026-06-07,2026-06-06,2026-06-09T04:34:55.781808,RH2m,%,29.44,67.5035,53.5159,82.7089,57.3963,76.3927,False,38.0635,38.0635,24.0759,24.0759,53.2689,53.2689,27.9563,27.9563,46.9527,46.9527
Delhi,2026-06-07,2026-06-06,2026-06-09T04:34:55.781808,TMP2m,C,37.14,31.5342,32.0506,28.4441,33.8615,31.7807,False,-5.6058,5.6058,-5.0894,5.0894,-8.6959,8.6959,-3.2785,3.2785,-5.3593,5.3593
Delhi,2026-06-07,2026-06-06,2026-06-09T06:40:37.225541,PRmsl,Pa,99980.0,100358.7649,,,,,False,378.7649,378.7649,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T06:40:37.225541,RH2m,%,29.44,67.5035,,,,,False,38.0635,38.0635,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T06:40:37.225541,TMP2m,C,37.14,31.5342,,,,,False,-5.6058,5.6058,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T10:38:52.765389,PRmsl,Pa,99980.0,100358.7649,,,,,False,378.7649,378.7649,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T10:38:52.765389,RH2m,%,29.44,67.5035,,,,,False,38.0635,38.0635,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T10:38:52.765389,TMP2m,C,37.14,31.5342,,,,,False,-5.6058,5.6058,,,,,,,,
Delhi,2026-06-07,2026-06-06,2026-06-09T23:46:28.297129,PRmsl,Pa,99980.0,100358.7649,100213.1995,100559.2555,100280.0419,100382.5627,False,378.7649,378.7649,233.1995,233.1995,579.2555,579.2555,300.0419,300.0419,402.5627,402.5627
